index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/10/17 23:38:25.441, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:38:25.443, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:38:25.445, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:38:25.446, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:38:35.448, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:38:35.450, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:38:35.451, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:38:35.452, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:38:45.454, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:38:45.456, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:38:45.457, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:38:45.459, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:38:55.462, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:38:55.464, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:38:55.466, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:38:55.467, 64.37 W, 1425 MHz, 877 MHz, 1425 MHz
0, 2023/10/17 23:39:05.470, 56.88 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:39:05.472, 42.01 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:39:05.473, 43.33 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:39:05.475, 209.55 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:39:15.477, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:39:15.480, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:39:15.482, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:39:15.483, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:39:25.487, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:39:25.488, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:39:25.490, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:39:25.492, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:39:35.494, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:39:35.496, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:39:35.498, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:39:35.500, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:39:45.502, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:39:45.505, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:39:45.507, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:39:45.508, 72.11 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:39:55.510, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:39:55.512, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:39:55.513, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:39:55.515, 74.05 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:40:05.517, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:40:05.519, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:40:05.521, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:40:05.522, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:40:15.525, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:40:15.528, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:40:15.529, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:40:15.531, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:40:25.534, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:40:25.536, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:40:25.538, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:40:25.540, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:40:35.543, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
